Date,Opponent,Total FG Attempted,Total FG Made,Total FG Percentage,3pt FG Attempted,3pt FG Made,3pt FG Percentage
2010-02-21 00:00:00,Atlanta Hawks,18,13,72.22%,3,1,0.3333333333333333
2010-03-05 00:00:00,Atlanta Hawks,19,11,57.89%,9,5,0.5555555555555556
2010-12-29 00:00:00,Atlanta Hawks,13,4,30.77%,3,,
2011-02-25 00:00:00,Atlanta Hawks,7,2,28.57%,2,,
2012-11-14 00:00:00,Atlanta Hawks,12,4,33.33%,5,,
2012-12-15 00:00:00,Atlanta Hawks,20,6,30.00%,11,3,0.2727272727272727
2014-01-03 00:00:00,Atlanta Hawks,15,7,46.67%,7,1,0.14285714285714285
2014-03-07 00:00:00,Atlanta Hawks,10,5,50.00%,4,1,0.25
2015-02-06 00:00:00,Atlanta Hawks,19,8,42.11%,9,4,0.4444444444444444
2015-03-18 00:00:00,Atlanta Hawks,11,4,36.36%,5,2,0.4
2016-02-22 00:00:00,Atlanta Hawks,22,14,63.64%,11,5,0.45454545454545453
2016-11-28 00:00:00,Atlanta Hawks,17,6,35.29%,11,4,0.36363636363636365
2017-03-06 00:00:00,Atlanta Hawks,20,8,40.00%,15,6,0.4
2018-03-02 00:00:00,Atlanta Hawks,15,8,53.33%,9,4,0.4444444444444444
2018-03-23 00:00:00,Atlanta Hawks,18,10,55.56%,8,3,0.375
2009-11-18 00:00:00,Boston Celtics,10,4,40.00%,4,1,0.25
2009-12-28 00:00:00,Boston Celtics,4,,,1,,
2011-02-22 00:00:00,Boston Celtics,10,7,70.00%,2,1,0.5
2011-03-04 00:00:00,Boston Celtics,11,4,36.36%,4,1,0.25
2012-12-29 00:00:00,Boston Celtics,13,8,61.54%,5,4,0.8
2013-03-01 00:00:00,Boston Celtics,22,6,27.27%,11,3,0.2727272727272727
2014-01-10 00:00:00,Boston Celtics,18,7,38.89%,8,3,0.375
2014-03-05 00:00:00,Boston Celtics,10,6,60.00%,4,1,0.25
2015-01-25 00:00:00,Boston Celtics,16,6,37.50%,5,1,0.2
2015-03-01 00:00:00,Boston Celtics,22,14,63.64%,8,5,0.625
2015-12-11 00:00:00,Boston Celtics,27,9,33.33%,13,6,0.46153846153846156
2016-04-01 00:00:00,Boston Celtics,19,9,47.37%,14,8,0.5714285714285714
2016-11-18 00:00:00,Boston Celtics,19,7,36.84%,9,2,0.2222222222222222
2017-03-08 00:00:00,Boston Celtics,16,8,50.00%,9,2,0.2222222222222222
2017-11-16 00:00:00,Boston Celtics,14,3,21.43%,9,2,0.2222222222222222
2018-01-27 00:00:00,Boston Celtics,23,16,69.57%,12,8,0.6666666666666666
2012-11-21 00:00:00,Brooklyn Nets,13,7,53.85%,4,2,0.5
2012-12-07 00:00:00,Brooklyn Nets,19,10,52.63%,9,5,0.5555555555555556
2014-01-08 00:00:00,Brooklyn Nets,24,11,45.83%,9,2,0.2222222222222222
2014-02-22 00:00:00,Brooklyn Nets,13,7,53.85%,4,3,0.75
2014-11-13 00:00:00,Brooklyn Nets,12,6,50.00%,7,3,0.42857142857142855
2015-03-02 00:00:00,Brooklyn Nets,16,8,50.00%,12,6,0.5
2015-11-14 00:00:00,Brooklyn Nets,31,13,41.94%,16,5,0.3125
2015-12-06 00:00:00,Brooklyn Nets,17,11,64.71%,9,5,0.5555555555555556
2016-12-22 00:00:00,Brooklyn Nets,17,6,35.29%,11,3,0.2727272727272727
2017-02-25 00:00:00,Brooklyn Nets,21,9,42.86%,10,5,0.5
2017-11-19 00:00:00,Brooklyn Nets,24,14,58.33%,10,4,0.4
2018-03-06 00:00:00,Brooklyn Nets,20,12,60.00%,12,6,0.5
2010-01-29 00:00:00,Charlotte Hornets,15,8,53.33%,4,2,0.5
2010-03-06 00:00:00,Charlotte Hornets,23,8,34.78%,8,4,0.5
2010-12-31 00:00:00,Charlotte Hornets,17,10,58.82%,5,4,0.8
2011-01-28 00:00:00,Charlotte Hornets,12,8,66.67%,5,4,0.8
2012-12-10 00:00:00,Charlotte Hornets,22,10,45.45%,7,4,0.5714285714285714
2012-12-21 00:00:00,Charlotte Hornets,17,9,52.94%,13,8,0.6153846153846154
2013-12-09 00:00:00,Charlotte Hornets,31,14,45.16%,15,5,0.3333333333333333
2014-02-04 00:00:00,Charlotte Hornets,18,8,44.44%,7,1,0.14285714285714285
2014-11-15 00:00:00,Charlotte Hornets,15,8,53.33%,6,3,0.5
2014-11-28 00:00:00,Charlotte Hornets,20,9,45.00%,10,1,0.1
2015-12-02 00:00:00,Charlotte Hornets,18,14,77.78%,11,8,0.7272727272727273
2016-01-04 00:00:00,Charlotte Hornets,21,12,57.14%,10,5,0.5
2017-01-25 00:00:00,Charlotte Hornets,22,11,50.00%,11,6,0.5454545454545454
2017-02-01 00:00:00,Charlotte Hornets,20,14,70.00%,15,11,0.7333333333333333
